Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,Volatility,Sharpe_Ratio,Risk_Adjusted_Score,Return_STD,Consistency_Score,Return_Score,Composite_Score,Category_Rank,Overall_Rank
ICICI Prudential Equity & Debt Fund - Growth,Regular,Aggressive Hybrid Fund,5,49256.66,-0.0231,-0.02,-0.0269,0.0143,-0.0241,0.1422,0.0924,0.1842,0.182,0.1648,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.066354201,-88.28077055,87.62,0.037889999,93.4,29.69108561,66.18243425,1,151
Kotak Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,8431.47,-0.0246,-0.0144,-0.0117,0.0059,-0.0141,0.1409,0.0973,0.1482,0.1294,0.1366,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.063111288,-92.83759198,86.93,0.019761756,96.56,23.33627538,64.38151015,2,215
SBI Equity Hybrid Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,4,81241.59,-0.0186,-0.014,-0.0298,0.0107,-0.0276,0.1282,0.1024,0.1474,0.1147,0.1261,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.060568895,-96.94414985,86.31,0.01675091,97.09,23.19505737,64.29802295,3,217
Mirae Asset Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,9404.54,-0.0231,-0.0129,-0.0132,0.0293,-0.0197,0.1439,0.0843,0.1413,0.1147,0.1324,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.0648305,-90.32939811,87.31,0.02462787,95.72,22.11827008,63.75630803,4,235
UTI Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,5,6654.14,-0.0217,-0.0247,-0.0312,0.0162,-0.0345,0.0992,0.0851,0.1588,0.1417,0.1306,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.051664175,-114.2145399,83.7,0.030380537,94.71,25.20741395,63.60596558,5,240
Nippon India Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,4024.55,-0.0249,-0.0183,-0.0306,0.0029,-0.0259,0.1133,0.0709,0.1472,0.1293,0.106,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.055429225,-106.202098,84.91,0.028531789,95.03,23.15975287,63.24590115,6,253
Aditya Birla Sun Life Equity Hybrid 95 Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,3,7334.37,-0.0229,-0.0288,-0.042,-0.0033,-0.0385,0.106,0.0735,0.1352,0.1041,0.1089,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.05603918,-105.1764145,85.07,0.021908058,96.19,21.04148279,62.79459312,7,279
Canara Robeco Equity Hybrid Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,3,11163.81,-0.0238,-0.0179,-0.026,0.005,-0.025,0.1169,0.0764,0.1339,0.111,0.1321,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.056100541,-104.867082,85.11,0.023209761,95.96,20.81200353,62.64580141,8,286
Axis Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,2,1497.28,-0.0212,-0.0169,-0.0319,0.0005,-0.0305,0.099,0.0795,0.1157,0.0881,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.049967976,-118.0956369,83.11,0.01561012,97.29,17.59929391,61.15971756,9,344
Sundaram Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,7933.61,-0.0256,-0.0285,-0.0456,-0.0063,-0.0386,0.0906,0.0591,0.124,0.1077,0.1284,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.050594427,-116.7994264,83.31,0.028212639,95.09,19.06443071,61.14577229,10,346
Franklin India Aggressive Hybrid Fund - Growth,Regular,Aggressive Hybrid Fund,3,2340.81,-0.0208,-0.0211,-0.037,-0.0097,-0.0307,0.0776,0.0582,0.139,0.1146,0.1175,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.042462631,-139.4732242,79.88,0.032710426,94.3,21.71226831,60.93890733,11,356
Tata Aggressive Hybrid Fund - Regular Plan - Growth,Regular,Aggressive Hybrid Fund,2,4032.86,-0.0279,-0.024,-0.0372,0.0021,-0.0451,0.0946,0.0507,0.1081,0.1034,0.1058,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.051945077,-113.685461,83.78,0.023930671,95.84,16.25772286,60.38908914,12,372
UTI Arbitrage Fund - Growth,Regular,Arbitrage Fund,5,10956.71,0.0013,0.0047,0.0156,0.0303,0.011,0.0647,0.0688,0.0712,0.0597,0.058,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (3).xlsx,0.02357411,-251.7719641,62.92,0.005672477,99.02,9.744042365,52.47961695,1,563
SBI Arbitrage Opportunities Fund - Regular Plan - Growth,Regular,Arbitrage Fund,4,43574.28,0.0013,0.0046,0.0152,0.0296,0.0109,0.0643,0.0679,0.0711,0.0613,0.0573,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (2).xlsx,0.023416013,-253.4889261,62.66,0.005412208,99.07,9.726390115,52.40955605,2,564
ICICI Prudential Equity - Arbitrage Fund - Growth,Regular,Arbitrage Fund,3,32976.02,0.0008,0.0048,0.0157,0.0299,0.0111,0.0639,0.068,0.0704,0.0596,0.0576,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (6).xlsx,0.023307481,-254.6864683,62.48,0.005413871,99.07,9.60282436,52.30612974,3,568
Kotak Arbitrage Fund - Growth,Regular,Arbitrage Fund,3,71931.38,0.0013,0.0048,0.0157,0.0298,0.0111,0.0633,0.0684,0.0718,0.0612,0.059,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (5).xlsx,0.022992868,-258.1974498,61.95,0.005262889,99.09,9.849955869,52.25198235,4,570
Aditya Birla Sun Life Arbitrage Fund - Regular Plan - Growth,Regular,Arbitrage Fund,4,26735.75,0.0012,0.0046,0.0153,0.0296,0.0108,0.0637,0.0672,0.07,0.059,0.0572,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (7).xlsx,0.023214966,-255.7100402,62.32,0.005382564,99.07,9.532215357,52.22988614,5,572
Tata Arbitrage Fund - Growth,Regular,Arbitrage Fund,5,20563.28,0.0013,0.0046,0.0158,0.0294,0.0105,0.0636,0.0671,0.0697,0.0585,,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (4).xlsx,0.023149744,-256.4347965,62.21,0.004844499,99.17,9.479258605,52.20570344,6,573
Axis Arbitrage Fund - Growth,Regular,Arbitrage Fund,4,8738.96,0.0015,0.0049,0.0157,0.0298,0.0111,0.0631,0.0672,0.0693,0.0588,0.057,Historical Returns - Mutual fund screener Mutual Fund Screening and Analysis Tool - Moneycontrol.com (1).xlsx,0.022870979,-259.5822452,61.74,0.005266593,99.09,9.408649603,52.01245984,7,583
